Sr. No.,Content ID,User ID,Category,Type,Datetime,Sentiments,Score
172,d0e55134-c60e-4a05-999c-d7697b4901f0,cf34e8ee-f508-47bc-baa1-bcc576e1084d,Cooking,Peeking,5/2/21 8:23,Neutral,35
173,ebdf5d36-9ecc-44d7-b641-d33805709452,948f7e9d-49bb-4770-bc9d-cb3fb65cca15,Cooking,Heart,7/18/20 1:39,Positive,60
174,1429467d-e8a2-4292-bd46-921e8bd87b30,c924f935-cff8-45c0-b4b7-5ed2c6cdaac8,Public Speaking,Intrigued,8/19/20 12:48,Positive,45
175,f0d1b3ed-f1dd-4a09-b17a-b0f241932fbb,8f41c07f-db4f-44f3-ae81-1f99cee047eb,Studying,Interested,4/25/21 13:21,Positive,30
176,7d459555-a816-4d20-893c-a002e0a74ce3,4edc3d1a-a7d9-4db6-89c3-f784d9954172,Healthy Eating,Interested,3/15/21 1:19,Positive,30
177,e6b61eab-6879-4618-b189-476f27f02fdd,26c6734f-42b6-48f8-a08e-e1c3a79019d0,Science,Cherish,12/27/20 18:35,Positive,70
178,d16d21cd-30c7-4b1e-b50c-aff5808fe816,5ffd8b51-164e-47e2-885e-8b8c46eb63ed,Fitness,Cherish,5/12/21 14:54,Positive,70
179,27ec2b21-a749-4181-b182-150a174fc277,bec3a622-1373-49c2-9d57-e0281c34f5cf,Animals,Indifferent,8/12/20 15:43,Neutral,20
180,8bcb980c-6f36-484d-974f-30b3e8fcc251,0f1f6aef-b094-4b4d-b6b6-412ebc42c12b,Travel,Scared,7/23/20 11:44,Negative,15
181,bac28166-5b8d-4f5d-88da-8c8f9a1c3f5b,f9ecf6a2-8402-43b3-bf22-8cd54394ea02,Food,Scared,4/25/21 7:15,Negative,15
182,1f466010-5c87-4b81-be83-5856481231fb,324e384a-9963-4d17-94aa-21859ea85062,Soccer,Heart,11/29/20 7:26,Positive,60
183,496645a7-64f7-4c56-94f5-a71671cb262e,9a5c1dcc-d26b-4303-b487-3075e7d34e02,Dogs,Hate,10/1/20 22:03,Negative,5
184,d6d4ec49-4210-44de-9f90-c93dfbeed084,23483ddd-e43e-4c5f-a1b7-5392410aa8d1,Tennis,Super Love,1/10/21 18:33,Positive,75
185,80d4bec9-6441-41a2-be74-0eec3e5317ef,41cd692a-be3c-4acd-a2c8-184586bdc180,Tennis,Scared,4/20/21 17:01,Negative,15
186,457d54ed-e0bf-4574-80e3-561c1bbc4d3e,caa8605b-5cd3-49d0-a680-2a6e9f3bf0a5,Science,Disgust,11/24/20 6:34,Negative,0
187,57a8bb62-a264-42d4-a1b0-6e4c0f859a5e,1add9169-fda0-4da2-82a0-4de3bf7ed8ca,Cooking,Like,6/3/21 1:00,Positive,50
188,ff883828-a610-492d-8635-8a777eaad25f,ded166ee-173b-4a56-bc6d-464c35709670,Education,Interested,10/4/20 14:41,Positive,30
189,48a824bf-e495-4333-8acf-c800947ec2cd,69fcad9e-45a9-4189-b7e1-96b26c57c542,Soccer,Scared,3/23/21 4:54,Negative,15
190,2019333d-2b9c-4a22-904c-d1f1aa9c68bb,98411adf-cfc0-400d-aac8-e215571ef3f2,Food,Hate,9/14/20 3:30,Negative,5
191,88d65e30-7ca0-4f32-a020-45c4cb3d9632,2dd186bb-7a28-4e80-99c7-f1936afc7b49,Travel,Want,7/24/20 6:50,Positive,70
192,05776481-7b58-46d8-abf6-bf4de7831287,57617bf3-b7d0-49cb-8d88-7d8346656397,Travel,Interested,3/8/21 11:06,Positive,30
193,323c35ed-081f-4efd-8bd6-ce5208ceb0ed,e74edcea-5db4-4412-a4ce-eb7c5adc314a,Animals,Super Love,2/17/21 3:41,Positive,75
194,8b51c05c-a8a2-4a6c-b031-165fb7bac840,66663a0d-856f-487f-a2a2-258af21ab3e5,Dogs,Peeking,3/20/21 14:10,Neutral,35
195,58059956-4cde-4671-9baf-904851731540,1582dac6-ebec-43ed-a34a-1a202ca72627,Education,Intrigued,2/16/21 13:38,Positive,45
196,a429d355-8983-40a4-aa2b-c3f47acd5499,e8c9386c-8fbc-40cc-9587-ccb912ec5c10,Veganism,Like,5/21/21 13:00,Positive,50
197,db3e5630-f959-4ce1-a12b-02efa655780e,e8849148-1482-4926-9f28-a537630b9ba2,Animals,Like,5/2/21 12:59,Positive,50
198,c9ab41d2-5728-4d94-b16a-1e9b7af9b21d,95023c1b-04b7-4efd-ab34-61a4a70bb9d8,Veganism,Intrigued,5/28/21 19:35,Positive,45
199,429632b9-88c0-4163-a7ed-4272a04f7838,56b8948a-68bd-425f-b842-eabe6bcfacca,Animals,Hate,12/9/20 6:12,Negative,5
200,281054fd-2b89-4191-92ae-98e1bc0ed51b,92423e9a-4e8c-49bc-be75-c819912696ce,Fitness,Super Love,2/26/21 14:18,Positive,75
201,ebdf9868-075e-4fca-a3de-ef7b2cd8f7a1,163daa38-8b77-48c9-9af6-37a6c1447ac2,Education,Peeking,6/18/20 19:42,Neutral,35
202,8ef185a2-8910-41f5-a109-95c925ebffa0,f46eee2a-6024-4046-a6f4-5232366edb87,Public Speaking,Super Love,10/26/20 6:32,Positive,75
203,839d117b-c764-4930-99f2-a6e4d1b47790,374634b7-aead-4f2f-9303-c15f456c4094,Cooking,Dislike,7/10/20 16:23,Negative,10
204,db672f6f-2f5b-47bd-aed6-bfc22188de4d,c834ba1d-8a10-4984-aaf2-7c2eab207076,Soccer,Love,10/6/20 6:24,Positive,65
205,037189e3-18c0-4f6c-a8cc-d6b86d679891,bbef3be1-172e-44bb-be3b-013140707ecf,Food,Want,5/1/21 5:37,Positive,70
206,709b527b-d26f-48f2-91f8-3cdd9702e564,b473e898-b7b0-4a57-959d-484bf4cc4483,Tennis,Indifferent,12/28/20 3:22,Neutral,20
207,909cbb46-9789-4e9d-9148-890e5c44a9e2,80c36ce2-2cef-4a47-a563-d2a60a2b1825,Animals,Intrigued,1/26/21 12:59,Positive,45
208,ceba816b-72ea-4682-8795-8569a46bb1d6,2941011b-f214-4430-8a14-e791ed0805bb,Dogs,Worried,2/22/21 16:03,Negative,12
209,1987b43d-bcb9-4ab0-8634-ef3623928e94,0828c4e1-63ec-4121-aa07-eefd37954bb9,Education,Heart,10/30/20 6:32,Positive,60
210,1a69604e-95a0-4b91-8051-f3730b7e009b,bcdf88dc-2a52-4716-bc24-a1b46040c8ce,Fitness,Interested,8/17/20 0:11,Positive,30
211,3e64dfe3-e832-4352-a170-9806f64ac507,15cf4392-8541-422b-8957-a9c0380c11d9,Healthy Eating,Cherish,4/18/21 20:33,Positive,70
212,30c8a141-2c2e-4272-8854-ff5673509652,89572273-761e-46f3-8b99-1689d98aac90,Culture,Dislike,6/8/21 22:42,Negative,10
213,d029d393-b80b-4a56-9450-7645ee42da07,3956593b-7739-426a-b7a5-e841c95a5df9,Healthy Eating,Like,12/4/20 17:23,Positive,50
214,4ce7258e-3777-42b4-af6a-dd8898c42cfd,f02267ef-8974-43f5-9a2f-03d2c8ec22ca,Travel,Disgust,7/2/20 19:33,Negative,0
215,75747dd7-8dad-4f2f-9209-62765223f3af,4bcb2c2e-36ed-4d5d-90a1-440993e9f6d2,Fitness,Hate,8/4/20 13:24,Negative,5
216,b47f0569-8d01-4ac4-a4ed-0fcc94cb96fc,1add9169-fda0-4da2-82a0-4de3bf7ed8ca,Studying,Peeking,12/19/20 9:33,Neutral,35
217,b1c49557-0623-4fb2-8f22-1453286fedad,54a8e072-5369-4122-9189-43b55e1a4ba2,Healthy Eating,Adore,8/9/20 23:08,Positive,72
218,96209724-37a8-475b-b80a-03e96a7c33b1,6ecb39b1-8f85-44f1-b2f3-0cffcba4d731,Fitness,Want,9/18/20 16:40,Positive,70
219,bb9dcde7-55bb-4fb8-b349-caa58fb08823,683d880b-3ccf-4f4d-8182-96e7a7a884bd,Healthy Eating,Super Love,11/10/20 2:22,Positive,75
220,a0606e08-1798-44f5-a575-28e82f79dfe3,0c5b0547-820a-4beb-832e-3162f74ccfa7,Veganism,Dislike,8/4/20 10:43,Negative,10
221,b7a5e38b-b990-4b8e-aaac-6cc9ee77f3d9,de050611-e926-43bb-b1ea-502d8bd25bfc,Cooking,Love,1/8/21 4:57,Positive,65
222,3dc03a86-f481-42fa-bf43-a7bcf3b6572e,3af8d78b-55c4-4ac0-8161-7cc3f6ec11c9,Fitness,Love,1/17/21 8:55,Positive,65
223,baf5959e-204c-4acc-838c-87617e79f448,33a8d02a-e255-4ffe-9d90-2df8c2914077,Fitness,Like,11/23/20 19:08,Positive,50
224,18a07663-ba3c-4ff9-94d3-bd533aa853c2,fd7396b2-a18b-449c-b326-e676aebd7776,Veganism,Adore,6/1/21 9:20,Positive,72
225,dc78a872-9057-4a8e-9a25-a1c407c1b7c9,a6e32004-8866-40e5-aaeb-e159c13fd42a,Culture,Dislike,11/10/20 18:05,Negative,10
226,a3d563e1-c7a6-4367-9195-cddc36863735,6178d76a-af2e-4453-93ee-02ca23ed3fdc,Healthy Eating,Interested,11/15/20 18:03,Positive,30
227,350e0d40-e036-459c-9cbe-73e003c33cfa,346174b1-4661-4cdd-8c47-66dbd013cd56,Technology,Hate,8/3/20 10:15,Negative,5
228,0e2169f4-b881-42d0-b99c-034b32f83504,f25dc445-de4a-47ee-92a4-0ff29c56656d,Food,Want,5/31/21 19:55,Positive,70
229,60ca0278-5ed6-4669-939b-e6dc2021c07d,317c70d5-fe65-4663-afb1-150108e0e55c,Technology,Adore,12/17/20 23:46,Positive,72
230,13a4d35c-761c-47a3-b25b-5cc5825d04f2,1879b698-1639-438e-a07e-ddd735f8d57c,Travel,Dislike,1/19/21 8:45,Negative,10
231,062cbf2f-fc22-4357-8890-63e7f13fcd37,f9ecf6a2-8402-43b3-bf22-8cd54394ea02,Education,Interested,7/5/20 4:36,Positive,30
232,45752c15-a54c-4b0d-8fe3-f39c40f6c8d9,1932a904-86ba-4438-bb52-b7e6516a4019,Education,Super Love,1/22/21 13:24,Positive,75
233,a3e93c2d-7fb4-4881-994d-ee20ad564924,317c70d5-fe65-4663-afb1-150108e0e55c,Public Speaking,Intrigued,11/28/20 6:40,Positive,45
234,5b379d75-649b-426f-b420-4e0b6e4a0e3d,953cb190-5704-4926-adc2-057c6f3e3cb4,Soccer,Interested,2/16/21 9:07,Positive,30
235,7fe36d94-8867-4719-9c62-60b077cf5973,5b62e10e-3c19-4d28-a57c-e9bdc3d6758d,Travel,Super Love,10/13/20 10:37,Positive,75
236,56df8914-9d42-434d-9612-6bb518dd641e,4ce3f877-96ea-4a37-8107-1176126d9d97,Fitness,Heart,3/12/21 14:23,Positive,60
237,78461336-26e2-4d0c-ab9a-fefbe419a8dd,3205ad12-726a-4b65-a15a-1a899a9d310b,"""Dogs""",Like,5/26/21 6:29,Positive,50
238,25934ec0-56f1-4fe1-9bf4-d46b1dbb42ad,877ce8ba-564f-4b86-9cdc-94a93d9a7997,Veganism,Dislike,7/4/20 5:26,Negative,10
239,637f80dd-2d70-4658-ba5f-8d909b050781,f182f7d5-e202-4e89-832e-02205dd2ff02,Studying,Adore,10/25/20 20:10,Positive,72
240,cb807d6e-079e-417e-adfc-759df6eddfa2,324e384a-9963-4d17-94aa-21859ea85062,Veganism,Cherish,4/10/21 11:41,Positive,70
241,227a8c57-e5a0-46a8-999d-fcdea42c0905,e69d9ade-20e5-4e31-bc70-5a46556c530f,Education,Want,5/27/21 11:16,Positive,70
242,94be0dfb-a23a-4426-9c3c-e4db1fd914b5,9d0a0b94-b081-40d7-bf56-6f8f4750dbaf,Public Speaking,Love,5/18/21 20:12,Positive,65
243,19179d57-4950-4a98-87fa-98f824551a6f,69527334-c362-47df-87fc-5e2b5e2605e5,Education,Intrigued,12/1/20 21:33,Positive,45
244,3926740f-e4f7-4229-9aad-e435149d0d2f,ded166ee-173b-4a56-bc6d-464c35709670,Science,Scared,6/22/20 20:54,Negative,15
245,590873fc-e921-4396-a173-a43451675afc,e09aa625-3db7-49bd-be09-9aaa0c86a8bf,Studying,Love,8/24/20 3:27,Positive,65
246,b4c71928-99f0-4f1e-bdff-3d99c16113ac,bf721d00-4fa1-44b1-834f-4730cd51aefa,Travel,Dislike,11/7/20 8:58,Negative,10
247,c7b02507-18a2-4169-91f1-4fc727c8bc03,89d6bd9d-ce6b-42e5-bb9b-ece3b338396d,Dogs,Super Love,3/20/21 13:15,Positive,75
248,70b0202f-cd58-42fe-acd9-7b2f8cf9e7c6,c64c5004-6ab5-4faa-9fcd-8039fe57799d,Cooking,Scared,6/24/20 12:34,Negative,15
249,2677e7fa-4c0e-44c5-9d4c-66615a42e86f,5d04455b-a95e-40d8-bcd4-8c485777c47f,Dogs,Scared,1/19/21 5:02,Negative,15
250,4b10b6a2-d8ad-4f48-835a-e0ec47e7e72c,bf721d00-4fa1-44b1-834f-4730cd51aefa,Education,Intrigued,2/14/21 10:15,Positive,45
251,990ad477-b9eb-4ea6-9ec8-3f941f53b758,122c3e03-0a96-4d62-9d17-27f8e2b6ba58,Animals,Intrigued,2/12/21 17:05,Positive,45
252,2240bbde-db67-4d73-b885-f0117b4b2080,92c3576c-8634-42a8-8005-6e1ff8c207e8,Food,Disgust,2/4/21 20:35,Negative,0
253,8338222c-c31f-40f3-883c-44125f36bae8,e8493c32-7f6f-4e57-a691-cf0df6f015c9,Education,Disgust,3/19/21 8:52,Negative,0
254,59bb59ce-776b-4d28-85ee-c0d71c690b6a,de050611-e926-43bb-b1ea-502d8bd25bfc,Animals,Adore,1/31/21 21:37,Positive,72
255,bb3901bd-a3d9-4f45-8b0c-0548c36385d2,1d8dfb6a-330c-4eb9-a603-364f207c6e57,Fitness,Love,12/15/20 6:42,Positive,65
256,b814490f-ff17-4f98-8fb0-cade9c2d8e61,24789387-968b-425a-8836-14e243cda16c,Culture,Peeking,9/15/20 17:33,Neutral,35
257,72878c11-38cc-4442-bc81-7eeef47c531c,1ebc46fa-edd3-4dec-bb45-c124daf83512,Animals,Intrigued,10/22/20 10:01,Positive,45
258,5163acf9-9bde-4f09-81e2-d8711e774360,caa8605b-5cd3-49d0-a680-2a6e9f3bf0a5,Healthy Eating,Love,4/4/21 17:44,Positive,65
259,802a8533-3051-4e2c-ad30-7751ece5d514,600118fa-e6f4-4d74-aeb6-936abbbf38a1,Food,Hate,6/20/20 3:13,Negative,5
260,8f12f846-7528-4516-aa7c-f937d868c904,f4ed8f9c-5eac-4d77-a206-c60afda2921a,Culture,Super Love,2/18/21 8:33,Positive,75
261,35489ad9-c3b5-4fcd-a6c0-9f2c667c55a8,d9aab962-e964-4afd-83ee-abda0865da67,Studying,Heart,11/30/20 7:14,Positive,60
262,636e6499-b670-4cd4-a829-2c4c9e07db2a,4c731e48-0377-4d7d-b4c8-b2174b774ed8,Soccer,Intrigued,9/9/20 12:30,Positive,45
263,2363df47-ee8b-433d-bbfc-34d5ac57e2aa,b473e898-b7b0-4a57-959d-484bf4cc4483,Travel,Hate,2/10/21 5:55,Negative,5
264,ac120787-f331-497f-8733-7cd63dfd36b6,eb74e88c-1bf5-402f-987e-90a5977ae1e3,Culture,Worried,2/24/21 8:51,Negative,12
265,9ec9b340-df2d-472f-9a7f-80b4790788e6,af647535-dae8-4ca3-9203-bf4bfc607ffe,Travel,Scared,8/20/20 5:18,Negative,15
266,5c38166c-8305-4227-ad54-bad36df2a57a,56e65b5b-e1b4-4f67-b596-e75bf103783b,Fitness,Intrigued,8/4/20 8:46,Positive,45
267,da8f7258-6757-4a7e-892e-a16b925ef83b,37867a23-d07b-4990-8fa8-d694cf7d3b1b,Cooking,Interested,2/3/21 2:21,Positive,30
268,e3c37598-5a41-471c-a65b-e0e1bef2f3ec,683d880b-3ccf-4f4d-8182-96e7a7a884bd,Tennis,Disgust,3/17/21 8:16,Negative,0
269,ecbba40a-93f2-470a-b565-938f61f527a7,6eb62858-f6f3-4846-8054-52df483979de,Public Speaking,Dislike,8/19/20 1:21,Negative,10
270,05805658-8744-4cc4-825d-cbfed0ecea7c,d81dc9d9-a614-40f1-9dd4-7a4a05bac243,Technology,Hate,3/1/21 22:52,Negative,5
271,962e5969-cd65-4670-a2ae-b0266908426b,13f0db8a-152a-496f-a6e8-1ed6a90b8788,Studying,Super Love,6/23/20 7:23,Positive,75
272,6fc7f722-0a93-4420-8376-09d6536ecef8,db392b86-6ba5-4a9b-933a-a2553488bb62,Fitness,Want,12/25/20 19:42,Positive,70
273,e611ee64-7ada-428d-aa37-94c8c0782a91,87026ce7-fd0b-4b57-9126-d4bae2c1ee0e,Cooking,Indifferent,9/25/20 8:55,Neutral,20
274,e96d9fcb-b5be-4382-b809-6315dbe6f89a,241d5c6e-06c7-491b-b23e-f8d6ddc0240a,Tennis,Interested,1/26/21 10:01,Positive,30
275,a7a7c909-15cb-4719-835b-cc9f835feb50,48bed4d7-0329-472c-96d9-b23a103eb834,Animals,Super Love,7/29/20 18:13,Positive,75
276,77099957-1551-435e-b386-704d8b91a46e,15cf4392-8541-422b-8957-a9c0380c11d9,Cooking,Scared,4/11/21 14:08,Negative,15
277,760e026f-8373-4aa4-acb5-03eb102fc733,f02267ef-8974-43f5-9a2f-03d2c8ec22ca,Food,Want,10/6/20 5:14,Positive,70
278,5c7fa152-9628-471d-b715-84e15c4b5d38,40e643fb-369c-4ecb-beb7-810114f331fa,Tennis,Want,11/16/20 14:09,Positive,70
279,25948d39-4549-4ead-be71-6a571bd56fe1,7a85fbc6-253f-4552-9f4a-c1a332e14fa5,Science,Indifferent,3/22/21 22:19,Neutral,20
280,d03efe68-5986-48c4-8767-93b8f5881004,ddd079a8-00dd-4aab-9551-11961171db16,Animals,Like,6/18/21 7:44,Positive,50
281,678dd299-afc6-4e35-890d-38a016cfdeff,ce7c338c-cad4-408f-895b-510ca73a388b,Public Speaking,Disgust,1/14/21 23:43,Negative,0
282,4bdd31e0-2f59-4262-bcbe-546678a3d203,d51a3403-8bab-4d88-af4f-a429c6d8c168,Healthy Eating,Intrigued,4/4/21 17:33,Positive,45
283,11b96207-c1c5-4083-948d-2942684aae0d,3205ad12-726a-4b65-a15a-1a899a9d310b,Studying,Heart,4/24/21 7:04,Positive,60
284,51a26a10-6973-4882-aa88-98b53978ce01,d55f3314-96cc-4a5d-b650-f43f094cd3c3,Veganism,Peeking,5/15/21 15:11,Neutral,35
285,693b5f91-52b1-4464-916c-91adccbec996,3663e3e6-3d5c-4ed9-a6af-1e680ec5f34b,"""Culture""",Scared,3/16/21 20:01,Negative,15
286,4898f7e1-1431-4e9c-a444-dbea02d58f85,fdbaec82-bc98-47b8-8fe6-4aec7524e8e3,Food,Like,3/14/21 17:58,Positive,50
287,8ea001b0-f13b-420f-b0f2-0cc35bdcd152,40f15350-9ac3-4b6c-83c3-51cc7945dd01,Studying,Peeking,12/28/20 7:20,Neutral,35
288,42afb980-6f27-40d3-962e-bff8eada090f,3a80467c-0f1f-49ca-b904-1938ea2177a9,Culture,Super Love,7/24/20 13:56,Positive,75
289,70a9e79f-ca7b-48e1-b521-c1d16cb2e36d,b3a84639-5a4f-4c97-8ea8-2ac49882e27a,Education,Indifferent,5/2/21 19:35,Neutral,20
290,7dfe344f-172b-4d1d-a9a5-d63e7a097642,5a1ab9a3-1983-4021-9557-d3700a276746,Culture,Worried,1/24/21 4:15,Negative,12
291,581634a6-14c7-4c0a-8c7f-34238e58cf6a,78703a69-8edc-458f-b0fc-85d96501dcdc,Veganism,Like,11/25/20 2:44,Positive,50
292,1e773c55-ec7e-47f2-916d-98d0b778a048,bfe23c39-f814-4282-b0f7-506cd8295b8a,Food,Indifferent,4/28/21 11:59,Neutral,20
293,c63235b6-aad7-42ff-96ba-978e47a6c5fc,54729154-eb5c-413a-8837-887365057910,Tennis,Dislike,9/30/20 16:39,Negative,10
294,194f1ad7-43bf-4cdd-a01b-e6947df47403,e206e31b-5f85-4964-b6ea-d7ee5324def1,Tennis,Hate,12/30/20 18:08,Negative,5
295,85e013ce-3474-4c9a-a4ea-7b726a29baae,57617bf3-b7d0-49cb-8d88-7d8346656397,Animals,Worried,10/13/20 14:23,Negative,12
296,212b7926-c743-45d9-85f2-63e0e8f85208,2941011b-f214-4430-8a14-e791ed0805bb,Dogs,Indifferent,12/19/20 4:47,Neutral,20
297,cb14a57b-9a8e-4694-9516-5a7d2ec41438,e2377b94-f06a-49ed-a266-377c4b07e980,Soccer,Hate,8/21/20 22:15,Negative,5
298,f5d6cb3a-923b-45fb-857a-7250b679625e,7918d465-0953-4f20-9e28-539e74c82e2f,Travel,Worried,12/5/20 4:18,Negative,12
299,9a5951a5-a36f-404e-a746-f6023c160fc0,48bed4d7-0329-472c-96d9-b23a103eb834,Science,Interested,8/6/20 7:02,Positive,30
300,26ea4466-0d88-482a-afab-e502beb4a316,79acce4b-b991-4a68-b762-d496686a4f32,Fitness,Super Love,8/2/20 9:01,Positive,75
301,9ee8836d-af4b-46ad-8869-4e0b1dedff7d,90e2caab-9daa-4bf0-8104-c25e6c70c59d,Tennis,Scared,7/9/20 21:05,Negative,15
302,b81f446e-be9b-4fff-8faf-7732c6306c75,d1a89d23-7d17-4949-9e1a-637317141f3d,Cooking,Heart,12/21/20 12:14,Positive,60
303,d72ea14e-16fb-4e2d-acf1-59a29dfa21df,33c1cee6-ae56-4f8e-84fc-ee0a4b7bbf4c,Public Speaking,Like,8/18/20 4:51,Positive,50
304,a059c110-6fab-4a4f-9482-eaf2c269911e,d0ea9a00-4ea9-4c81-b16a-a20b72f824ea,Food,Adore,5/24/21 8:23,Positive,72
305,b90bb1f2-9dbf-4802-a0e2-103dac50d272,72f7f84c-5bcc-4380-81cd-3378ce0a1b32,Fitness,Heart,4/1/21 11:31,Positive,60
306,31f3802a-fe3d-441c-8732-102bd39f6db5,1f7e22c8-558a-4b6f-a04f-b219593f029e,Science,Scared,6/19/20 15:53,Negative,15
307,4b582733-141e-488f-8d02-3c4b149815a5,4c731e48-0377-4d7d-b4c8-b2174b774ed8,Fitness,Hate,9/2/20 3:02,Negative,5
308,4e659bd8-44b6-41a3-893c-c528474a29c9,e8849148-1482-4926-9f28-a537630b9ba2,Education,Love,7/25/20 21:25,Positive,65
309,8866b759-c55c-4fd3-9753-8a69265c481e,2129de92-ee91-425f-a854-07c553ee0b74,Science,Heart,10/15/20 9:10,Positive,60
310,915505a1-6d75-4894-8200-0f088c19431b,a710ab29-b72a-42c8-a79b-42e63d4a8bfd,Cooking,Worried,6/22/20 3:27,Negative,12
311,eec5dae8-e4d0-4b15-80a9-ac55352cb5ca,cbc99939-e6a6-4269-9819-bffce6f38751,Cooking,Disgust,5/17/21 7:54,Negative,0
312,3ce1063a-2277-4285-97b0-9bd53a941cd7,163daa38-8b77-48c9-9af6-37a6c1447ac2,Travel,Want,6/14/21 15:36,Positive,70
313,42d062ec-2107-4fbe-9a77-2e00c67a7d63,168e6d97-0b9c-45d0-ba57-cabc8c60d428,Culture,Love,9/6/20 20:54,Positive,65
314,1089b539-bbb6-4ef7-ba3e-a15af2bc5f42,e2377b94-f06a-49ed-a266-377c4b07e980,Food,Like,3/10/21 7:32,Positive,50
315,2d10f5b0-c590-429f-8b68-52c239617d26,7adafb3c-7c7c-492b-be5b-5ddd9ff1316a,Technology,Super Love,1/30/21 15:37,Positive,75
316,e75a100d-18a9-47a5-9554-1843ed350dc9,b4a6b3ac-b6af-4525-8d59-7afc00ff279d,Cooking,Want,9/12/20 11:38,Positive,70
317,cb0bd265-610e-4d5f-bc00-1732f58562dc,b6fd2140-f8b9-498a-a07f-0dc9986736c6,Science,Adore,11/13/20 5:25,Positive,72
318,b2344491-76af-4b2c-b569-e9af85298b30,49da0743-cb4d-4c84-b6a2-537bbe7256d1,Culture,Super Love,8/8/20 12:55,Positive,75
319,178f85a7-c2d1-4127-94d2-30adf96ae7fd,ac4e6ee0-d1bd-4e6b-9355-7567b3e3ec5e,Science,Want,10/8/20 22:55,Positive,70
320,89cf06bc-e921-4cfd-bd16-d071757d90a2,b0c22f82-b882-4394-bf27-6dfadf26e5c2,Animals,Like,6/6/21 16:17,Positive,50
321,16fb5dcb-4349-4831-acf2-8c116ad7dae5,330ded4b-db65-485a-80a4-6b3bffd33067,Technology,Hate,5/28/21 9:40,Negative,5
322,0d5eb9fd-879d-4716-aebc-840f7b1b7e9f,3455a646-398f-4b16-b19a-1371cdb2e048,Dogs,Love,11/25/20 17:42,Positive,65
323,e4827a5c-c604-4aad-b7ed-b396b3601b74,85503a94-e733-486e-989e-12ff9b59f2d3,Education,Love,10/25/20 0:37,Positive,65
324,abecd821-ad3d-43b0-a550-aadd9d267072,77908afa-eff6-49a9-b042-04fff799a0ff,Tennis,Hate,5/18/21 8:02,Negative,5
325,0289b7bc-bc95-4f1d-83fe-9ca662194158,084eb113-0d87-4ae5-891b-2ec7f1e194a8,Tennis,Peeking,9/14/20 3:08,Neutral,35
326,3a7b85dd-717e-4460-8144-498fdbc9380c,808f5b0d-17e3-44e1-b58e-7f35ebabaff2,Education,Heart,6/14/21 2:15,Positive,60
327,03e51c25-cba9-471b-b627-f15550b83fca,b9bcd994-f000-4f6b-87fc-caae08acfaa1,Veganism,Love,4/20/21 17:17,Positive,65
328,daeddfcc-c030-4674-8317-56a23ab81799,e69d9ade-20e5-4e31-bc70-5a46556c530f,Animals,Cherish,5/6/21 11:26,Positive,70
329,71246f1e-0b64-4922-a6ae-c86c446837be,2ab641a8-6ad4-4d1a-8511-d87ff5346773,Healthy Eating,Worried,10/5/20 22:54,Negative,12
330,41bc0418-db4b-48b4-ada6-18eda999cd25,31cfc138-cec0-4176-bd6d-79c4cadbb1d4,Travel,Like,3/25/21 16:36,Positive,50
331,31d142d9-4557-4613-bce5-cfe63cd0a3cf,31cfc138-cec0-4176-bd6d-79c4cadbb1d4,Soccer,Disgust,7/21/20 15:34,Negative,0
332,77f0131d-a06e-40d6-8f6d-a64c0491d1b5,4027aa31-4bda-4e1d-92f7-49de962e8da9,Healthy Eating,Intrigued,8/3/20 6:22,Positive,45
333,ad5ddd13-b8ea-4174-ad71-da1663c7f959,15c2ba5b-eeb6-4d9b-a0e2-7d5461a21c0a,Technology,Dislike,4/14/21 19:39,Negative,10
334,447954af-c2c0-4546-881c-3ba1cb104209,0d47a133-383b-4a9c-976c-697ac65ccb19,Tennis,Like,9/11/20 22:16,Positive,50
335,a412c4fa-42c9-4bd8-a2d7-1ad1dcbe9615,0871bb31-3d6e-4e4c-ab19-95a262cac0d4,Dogs,Peeking,6/13/21 13:25,Neutral,35
336,3b436c19-72fe-429a-80dd-88d24ef549d1,31ff6616-c1dc-4b9a-8091-0b4d0cac25b1,Soccer,Peeking,11/30/20 19:53,Neutral,35
337,0c042b6c-725e-4591-a666-cf32c5ec7cc8,7918d465-0953-4f20-9e28-539e74c82e2f,Public Speaking,Peeking,10/25/20 20:12,Neutral,35
338,dfdf6d34-e60b-4d21-9973-4bf07769be78,f7785ec1-7383-4815-8206-80de7c05fdf9,Public Speaking,Love,2/18/21 10:42,Positive,65
339,cebae43b-4f77-4689-86e0-66fb107d5eef,4c0558bc-b0d9-44b0-8b70-5fc6acb6c362,Culture,Scared,11/21/20 8:25,Negative,15
340,7e2e14e2-79eb-41d0-8d5f-eba20460f049,3efc3621-873a-4b80-a0cb-27e531d600be,Dogs,Disgust,4/5/21 23:55,Negative,0
341,34cb120b-853b-4788-8978-a3544449136b,4c0558bc-b0d9-44b0-8b70-5fc6acb6c362,Food,Heart,2/27/21 11:20,Positive,60
342,e4fd43f5-c0cb-47cd-bc41-1e07a8081323,d9aab962-e964-4afd-83ee-abda0865da67,Soccer,Disgust,2/20/21 18:33,Negative,0
343,e4306fd4-391c-4016-8b5f-98594bb647a0,ef629f00-391d-4a79-af74-77a9afdbbd41,Healthy Eating,Heart,3/13/21 15:29,Positive,60
344,697af362-e84b-4429-b4ea-4123c6ab44ba,3f218ab6-a288-4ee8-affc-3d02a9cbff5f,Science,Hate,1/31/21 4:42,Negative,5
